# ATCA calibrator list retrieved on 2011-10-10
0000-177, radec atca_cal, 00:03:21.9969, -17:27:11.781
0002-478, radec atca_cal, 00:04:35.65552232, -47:36:19.6035044
0003-066, radec atca_cal, 00:06:13.892894, -06:23:35.335300
0003-003, radec atca_cal, 00:06:22.6338, -00:04:24.086
0006+061, radec atca_cal, 00:09:03.9327, 06:28:21.238
0007+171, radec atca_cal, 00:10:33.990619, 17:24:18.761350
0008-421, radec atca_cal, 00:10:52.520, -41:53:10.79
0008-264, radec atca_cal, 00:11:01.246752, -26:12:33.377130
0009+081, radec atca_cal, 00:11:35.269651, 08:23:55.587470
j0011-8443, radec atca_cal, 00:11:45.90267, -84:43:20.0096
0010-401, radec atca_cal, 00:12:59.90986, -39:54:26.0553
0013-005, radec atca_cal, 00:16:11.088554, -00:15:12.445280
0016-129, radec atca_cal, 00:18:51.4001, -12:42:33.214
0019-000, radec atca_cal, 00:22:25.425930, 00:14:56.161440
0019+058, radec atca_cal, 00:22:32.441226, 06:08:04.268930
0022-423, radec atca_cal, 00:24:42.990, -42:02:03.95
0023-263, radec atca_cal, 00:25:49.15625, -26:02:12.6168
j0026-3512, radec atca_cal, 00:26:16.388, -35:12:48.45
0024+092, radec atca_cal, 00:27:05.7947, 09:29:57.752
j0028-7045, radec atca_cal, 00:28:41.56281, -70:45:15.9267
0027+056, radec atca_cal, 00:29:45.8964, 05:54:40.695
0027-426, radec atca_cal, 00:30:17.49264, -42:24:46.4827
j0033-4236, radec atca_cal, 00:33:47.94145, -42:36:14.0676
j0034-4116, radec atca_cal, 00:34:04.40893, -41:16:19.4729
0032-203, radec atca_cal, 00:35:08.7836, -20:03:59.664
0036-216, radec atca_cal, 00:38:29.954721, -21:20:04.022270
0037-593, radec atca_cal, 00:40:07.848794, -59:03:52.76516
0037+011, radec atca_cal, 00:40:13.5252, 01:25:46.303
j0040-4253, radec atca_cal, 00:40:32.51473, -42:53:11.3916
0038-020, radec atca_cal, 00:40:57.611582, -01:46:32.025620
j0042-4030, radec atca_cal, 00:42:01.22481, -40:30:39.7419
0039-445, radec atca_cal, 00:42:09.4222, -44:14:15.581
j0042-4333, radec atca_cal, 00:42:24.86725, -43:33:39.8164
j0044-8422, radec atca_cal, 00:44:26.68719, -84:22:39.9895
0042-357, radec atca_cal, 00:44:41.22, -35:30:41.50
j0047-7530, radec atca_cal, 00:47:40.81228, -75:30:11.3640
j0049-4457, radec atca_cal, 00:49:16.62412, -44:57:11.1658
0047+023, radec atca_cal, 00:49:43.235929, 02:37:03.778200
0047-579, radec atca_cal, 00:49:59.473, -57:38:27.33
0048-097, radec atca_cal, 00:50:41.317390, -09:29:05.210210
0048-447, radec atca_cal, 00:50:51.97, -44:28:38.9
0048-071, radec atca_cal, 00:51:08.209796, -06:50:02.228140
0048-427, radec atca_cal, 00:51:9.50181782, -42:26:33.2932305
j0054-7534, radec atca_cal, 00:54:05.81337, -75:34:03.6325
0051-038, radec atca_cal, 00:54:08.4465, -03:33:55.363
j0056-4451, radec atca_cal, 00:56:45.85310, -44:51:02.1424
0055+060, radec atca_cal, 00:58:33.8058, 06:20:06.084
0056-572, radec atca_cal, 00:58:46.581, -56:59:11.47
j0058-5219, radec atca_cal, 00:58:55.89967, -52:19:27.8311
0056-001, radec atca_cal, 00:59:05.514924, 00:06:51.621710
0056-172, radec atca_cal, 00:59:06.6845, -17:00:38.522
j0101-6233, radec atca_cal, 01:01:14.96878, -62:33:06.3361
j0102-5637, radec atca_cal, 01:02:10.45351, -56:37:04.4807
j0102-8012, radec atca_cal, 01:02:14.91169, -80:12:39.4316
j0103-4549, radec atca_cal, 01:03:26.23150, -45:49:01.3801
j0103-6439, radec atca_cal, 01:03:33.74178, -64:39:07.6842
0104-408, radec atca_cal, 01:06:45.108, -40:34:19.96
0106+013, radec atca_cal, 01:08:38.771074, 01:35:00.317140
0107-610, radec atca_cal, 01:09:15.47522051, -60:49:48.4601351
j0110-6315, radec atca_cal, 01:10:16.72027, -63:15:56.3530
0108-079, radec atca_cal, 01:10:50.020945, -07:41:41.113690
0111+021, radec atca_cal, 01:13:43.144951, 02:22:17.316310
0112-017, radec atca_cal, 01:15:17.099972, -01:27:04.577370
0113-118, radec atca_cal, 01:16:12.521963, -11:36:15.434050
j0116-7905, radec atca_cal, 01:16:23.48023, -79:05:54.7484
0114-211, radec atca_cal, 01:16:51.4043, -20:52:06.813
j0118-4102, radec atca_cal, 01:18:45.27629, -41:02:30.7484
0116-219, radec atca_cal, 01:18:57.262140, -21:41:30.139550
0116+082, radec atca_cal, 01:19:01.2740, 08:29:54.680
j0119-5357, radec atca_cal, 01:19:50.44553, -53:57:17.8872
0117-155, radec atca_cal, 01:20:27.1972, -15:20:16.631
0118-272, radec atca_cal, 01:20:31.663334, -27:01:24.652570
0119+115, radec atca_cal, 01:21:41.595043, 11:49:50.413130
0119+041, radec atca_cal, 01:21:56.861699, 04:22:24.734360
0122-003, radec atca_cal, 01:25:28.843788, -00:05:55.931800
0127+084, radec atca_cal, 01:30:27.6358, 08:42:46.197
j0131-7916, radec atca_cal, 01:31:48.82281, -79:16:17.4855
0130-171, radec atca_cal, 01:32:43.487454, -16:54:48.521370
0131-522, radec atca_cal, 01:33:05.763, -52:00:03.94
0132-389, radec atca_cal, 01:34:32.0382, -38:43:33.514
0132-097, radec atca_cal, 01:34:35.6676, -09:31:03.072
0132+079, radec atca_cal, 01:35:14.9994, 08:11:07.106
0133-203, radec atca_cal, 01:35:37.509375, -20:08:45.861680
j0136-4044, radec atca_cal, 01:36:02.85627, -40:44:50.2969
0135-247, radec atca_cal, 01:37:38.346378, -24:30:53.885260
0134+329, radec atca_cal, 01:37:41.299431, 33:09:35.132990
0138-097, radec atca_cal, 01:41:25.832025, -09:28:43.673810
0139-273, radec atca_cal, 01:41:27.1913, -27:06:07.125
0142-278, radec atca_cal, 01:45:03.394589, -27:33:34.328870
j0146-5202, radec atca_cal, 01:46:48.58131, -52:02:33.6463
0146+056, radec atca_cal, 01:49:22.370886, 05:55:53.568660
0147-076, radec atca_cal, 01:50:02.697304, -07:25:48.488550
0149+218, radec atca_cal, 01:52:18.059047, 22:07:07.700040
0150-334, radec atca_cal, 01:53:10.122, -33:10:25.86
0151+081, radec atca_cal, 01:54:02.7707, 08:23:51.080
j0154-5107, radec atca_cal, 01:54:19.69514, -51:07:51.7278
0153-410, radec atca_cal, 01:55:37.059, -40:48:42.36
j0156-5439, radec atca_cal, 01:56:49.71203, -54:39:48.5000
0155-109, radec atca_cal, 01:57:41.5280, -10:43:40.408
j0157-4614, radec atca_cal, 01:57:51.11572, -46:14:23.2611
j0159-7231, radec atca_cal, 01:59:34.40132, -72:31:45.4335
j0200-4010, radec atca_cal, 02:00:11.83858, -40:10:58.3057
0158+031, radec atca_cal, 02:00:40.8172, 03:22:49.502
j0201-6638, radec atca_cal, 02:01:07.74497, -66:38:12.6676
0159+034, radec atca_cal, 02:01:51.5093, 03:43:09.256
0159-117, radec atca_cal, 02:01:57.1647, -11:32:33.133
0201-440, radec atca_cal, 02:03:40.76, -43:49:51.41
0202+149, radec atca_cal, 02:04:50.413904, 15:14:11.043460
0202-172, radec atca_cal, 02:04:57.674350, -17:01:19.840180
j0206-6143, radec atca_cal, 02:06:40.00332, -61:43:32.2068
j0208-6216, radec atca_cal, 02:08:01.17116, -62:16:35.5348
0205-010, radec atca_cal, 02:08:26.3466, -00:47:44.292
0206-048, radec atca_cal, 02:09:30.7666, -04:38:26.150
0208-512, radec atca_cal, 02:10:46.200, -51:01:01.90
j0214-7027, radec atca_cal, 02:14:04.46983, -70:27:06.1965
j0214-6149, radec atca_cal, 02:14:16.20457, -61:49:33.6600
0213-026, radec atca_cal, 02:15:42.017245, -02:22:56.751750
0213+051, radec atca_cal, 02:15:55.0114, 05:24:25.551
0214-522, radec atca_cal, 02:16:03.198150, -52:00:12.47851
0215+015, radec atca_cal, 02:17:48.954740, 01:44:49.699090
0216+011, radec atca_cal, 02:19:07.024497, 01:20:59.865760
j0219-6806, radec atca_cal, 02:19:41.72787, -68:06:18.2413
0218-021, radec atca_cal, 02:20:54.2800, -01:56:51.800
0220-349, radec atca_cal, 02:22:56.402, -34:41:28.73
j0223-5347, radec atca_cal, 02:23:30.87439, -53:47:39.9018
0221+067, radec atca_cal, 02:24:28.428190, 06:59:23.341640
j0228-5546, radec atca_cal, 02:28:21.59838, -55:46:03.2800
j0229-5403, radec atca_cal, 02:29:12.78544, -54:03:24.0331
0230-790, radec atca_cal, 02:29:34.945, -78:47:45.60
j0231-4746, radec atca_cal, 02:31:11.80361, -47:46:11.5823
j0231-5841, radec atca_cal, 02:31:16.93220, -58:41:06.7608
0229-398, radec atca_cal, 02:31:51.7886, -39:35:45.744
0231+045, radec atca_cal, 02:34:07.1546, 04:46:43.052
0235-618, radec atca_cal, 02:36:53.24573338, -61:36:15.1827954
0234+052, radec atca_cal, 02:37:14.0372, 05:26:49.929
0234+285, radec atca_cal, 02:37:52.405678, 28:48:08.990080
0237-027, radec atca_cal, 02:39:45.472266, -02:34:40.914300
0237+040, radec atca_cal, 02:39:51.263048, 04:16:21.411830
0237-233, radec atca_cal, 02:40:08.174510, -23:09:15.730850
0238-084, radec atca_cal, 02:41:04.798520, -08:15:20.751840
0240-217, radec atca_cal, 02:42:35.909850, -21:32:25.935070
0240-002, radec atca_cal, 02:42:40.7343, -00:00:47.237
j0246-4651, radec atca_cal, 02:46:00.11796, -46:51:17.2317
0246+061, radec atca_cal, 02:49:18.016104, 06:19:51.947230
j0251-6000, radec atca_cal, 02:51:26.24667, -60:00:06.2476
0252-712, radec atca_cal, 02:52:46.15240, -71:04:35.2565
j0253-7513, radec atca_cal, 02:53:10.88082, -75:13:16.6850
0252-549, radec atca_cal, 02:53:29.180, -54:41:51.44
0256+054, radec atca_cal, 02:58:50.5267, 05:41:08.036
0256+075, radec atca_cal, 02:59:27.076633, 07:47:39.643230
0258+011, radec atca_cal, 03:01:23.6061, 01:18:35.971
j0303-7914, radec atca_cal, 03:03:20.90182, -79:14:56.5164
j0303-6458, radec atca_cal, 03:03:50.55166, -64:58:54.6825
0302-623, radec atca_cal, 03:03:50.632, -62:11:25.55
j0304-7007, radec atca_cal, 03:04:18.24179, -70:07:41.1288
j0304-4333, radec atca_cal, 03:04:29.20219, -43:33:16.0281
j0307-4857, radec atca_cal, 03:07:34.19266, -48:57:11.5335
0308-611, radec atca_cal, 03:09:56.099, -60:58:39.06
j0312-5541, radec atca_cal, 03:12:07.21302, -55:41:34.8163
0310+013, radec atca_cal, 03:12:43.6028, 01:33:17.538
0310-150, radec atca_cal, 03:12:46.3988, -14:49:52.051
j0314-6548, radec atca_cal, 03:14:22.44510, -65:48:24.6961
j0318-5650, radec atca_cal, 03:18:57.80337, -56:50:37.4717
j0323-6026, radec atca_cal, 03:23:08.45901, -60:26:31.7352
0320+053, radec atca_cal, 03:23:20.2616, 05:34:11.8909
j0324-7320, radec atca_cal, 03:24:03.81853, -73:20:47.2705
0325+005, radec atca_cal, 03:27:59.2161, 00:44:22.735
0327-241, radec atca_cal, 03:29:54.075537, -23:57:08.773300
j0330-4014, radec atca_cal, 03:30:51.10399, -40:14:16.5959
0332-403, radec atca_cal, 03:34:13.65448352, -40:08:25.3976737
0332+078, radec atca_cal, 03:34:53.316689, 08:00:14.418780
0334-546, radec atca_cal, 03:35:53.925, -54:30:25.12
0333+321, radec atca_cal, 03:36:30.107599, 32:18:29.342390
0334+014, radec atca_cal, 03:37:17.113392, 01:37:22.772123
0336-019, radec atca_cal, 03:39:30.937787, -01:46:35.803990
j0340-6703, radec atca_cal, 03:40:28.24119, -67:03:16.5023
0338-214, radec atca_cal, 03:40:35.607864, -21:19:31.172230
j0341-5954, radec atca_cal, 03:41:21.61456, -59:54:08.9097
0346-279, radec atca_cal, 03:48:38.144561, -27:49:13.565300
j0351-5142, radec atca_cal, 03:51:28.22900, -51:42:55.4852
0355-669, radec atca_cal, 03:55:47.88331911, -66:45:33.8172166
0355-483, radec atca_cal, 03:57:21.918, -48:12:15.16
j0357-4625, radec atca_cal, 03:57:28.71668, -46:25:43.2359
0357+057, radec atca_cal, 04:00:11.735376, 05:50:43.122920
0358+040, radec atca_cal, 04:01:19.912896, 04:13:34.408610
0400-319, radec atca_cal, 04:02:21.266, -31:47:25.94
0400+258, radec atca_cal, 04:03:05.586048, 26:00:01.502740
0402-362, radec atca_cal, 04:03:53.750, -36:05:01.91
0403-132, radec atca_cal, 04:05:34.003401, -13:08:13.691050
0403+064, radec atca_cal, 04:06:34.307293, 06:37:14.990570
0405-385, radec atca_cal, 04:06:59.035, -38:26:28.04
0407+075, radec atca_cal, 04:07:29.0870, 07:42:07.500
0405-331, radec atca_cal, 04:07:33.91377, -33:03:46.3587
0407-658, radec atca_cal, 04:08:20.380, -65:45:09.08
0406-127, radec atca_cal, 04:09:05.769732, -12:38:48.144100
0406-180, radec atca_cal, 04:09:06.7000, -17:57:10.039
0406+121, radec atca_cal, 04:09:22.008740, 12:17:39.847500
0406+065, radec atca_cal, 04:09:25.8474, 06:40:35.086
0408+085, radec atca_cal, 04:11:33.8575, 08:43:11.408
0409+000, radec atca_cal, 04:12:33.456407, 00:10:48.493230
j0412-8335, radec atca_cal, 04:12:39.77308, -83:35:21.2062
j0412-4604, radec atca_cal, 04:12:50.29957, -46:04:49.6380
0411-346, radec atca_cal, 04:13:00.9438, -34:30:10.193
j0415-4737, radec atca_cal, 04:15:54.25523, -47:37:35.4109
j0415-4637, radec atca_cal, 04:15:58.68851, -46:37:49.2747
0413-210, radec atca_cal, 04:16:04.359742, -20:56:27.517790
0414-341, radec atca_cal, 04:16:10.05417, -34:03:03.9613
0414-189, radec atca_cal, 04:16:36.544466, -18:51:08.340120
0420-625, radec atca_cal, 04:20:55.33, -62:23:39.70
0420+022, radec atca_cal, 04:22:52.214644, 02:19:26.931920
0420-014, radec atca_cal, 04:23:15.800727, -01:20:33.065310
0421+019, radec atca_cal, 04:24:08.562028, 02:04:24.964950
0422-380, radec atca_cal, 04:24:42.244, -37:56:20.78
0422+004, radec atca_cal, 04:24:46.842052, 00:36:06.329830
j0425-5331, radec atca_cal, 04:25:04.27303, -53:31:58.2600
j0425-6646, radec atca_cal, 04:25:06.76626, -66:46:50.2661
0423+051, radec atca_cal, 04:26:36.604102, 05:18:19.872040
0425+048, radec atca_cal, 04:27:47.570514, 04:57:08.325980
0426-380, radec atca_cal, 04:28:40.424, -37:56:19.58
j0428-5005, radec atca_cal, 04:28:42.63223, -50:05:34.2952
0427-345, radec atca_cal, 04:29:47.2210, -34:26:41.760
j0430-6132, radec atca_cal, 04:30:22.01023, -61:32:00.6721
j0431-6406, radec atca_cal, 04:31:28.10274, -64:06:31.3682
